node_id,yinshi_w_value,xianshi_w_value
1455041322792808448,2021-11-01,2021-11-02
1455041322792808448,2021-11-01,2021-11-03
1455041322792808448,2021-11-01,2021-11-04
1455041322792808448,2021-11-01,2021-11-05
1456441701891936512,2021-11-05,2021-11-06
1455041322792808448,2021-11-01,2021-11-06
1456441701891936512,2021-11-05,2021-11-07
1455041322792808448,2021-11-01,2021-11-07
1457408925842620416,2021-11-07,2021-11-08
1456441701891936512,2021-11-05,2021-11-08
1455041322792808448,2021-11-01,2021-11-08
1457408925842620416,2021-11-07,2021-11-09
1456441701891936512,2021-11-05,2021-11-09
1455041322792808448,2021-11-01,2021-11-09
1457408925842620416,2021-11-07,2021-11-10
1456441701891936512,2021-11-05,2021-11-10
1455041322792808448,2021-11-01,2021-11-10
1457408925842620416,2021-11-07,2021-11-11
1458355767216586752,2021-11-10,2021-11-11
1456441701891936512,2021-11-05,2021-11-11
1455041322792808448,2021-11-01,2021-11-11
1458373069026824192,2021-11-10,2021-11-11
1457408925842620416,2021-11-07,2021-11-12
1458355767216586752,2021-11-10,2021-11-12
1456441701891936512,2021-11-05,2021-11-12
1455041322792808448,2021-11-01,2021-11-12
1458373069026824192,2021-11-10,2021-11-12
1457408925842620416,2021-11-07,2021-11-13
1458355767216586752,2021-11-10,2021-11-13
1456441701891936512,2021-11-05,2021-11-13
1455041322792808448,2021-11-01,2021-11-13
1458373069026824192,2021-11-10,2021-11-13
1457408925842620416,2021-11-07,2021-11-14
1458355767216586752,2021-11-10,2021-11-14
1456441701891936512,2021-11-05,2021-11-14
1455041322792808448,2021-11-01,2021-11-14
1458373069026824192,2021-11-10,2021-11-14
1457408925842620416,2021-11-07,2021-11-15
1458355767216586752,2021-11-10,2021-11-15
1456441701891936512,2021-11-05,2021-11-15
1455041322792808448,2021-11-01,2021-11-15
1458373069026824192,2021-11-10,2021-11-15
1457408925842620416,2021-11-07,2021-11-16
1458355767216586752,2021-11-10,2021-11-16
1456441701891936512,2021-11-05,2021-11-16
1455041322792808448,2021-11-01,2021-11-16
1458373069026824192,2021-11-10,2021-11-16
1460193074278113280,2021-11-15,2021-11-16
1457408925842620416,2021-11-07,2021-11-17
1458355767216586752,2021-11-10,2021-11-17
1456441701891936512,2021-11-05,2021-11-17
1455041322792808448,2021-11-01,2021-11-17
1458373069026824192,2021-11-10,2021-11-17
1460193074278113280,2021-11-15,2021-11-17
1457408925842620416,2021-11-07,2021-11-18
1458355767216586752,2021-11-10,2021-11-18
1456441701891936512,2021-11-05,2021-11-18
1455041322792808448,2021-11-01,2021-11-18
1458373069026824192,2021-11-10,2021-11-18
1460193074278113280,2021-11-15,2021-11-18
1457408925842620416,2021-11-07,2021-11-19
1458355767216586752,2021-11-10,2021-11-19
1456441701891936512,2021-11-05,2021-11-19
1455041322792808448,2021-11-01,2021-11-19
1458373069026824192,2021-11-10,2021-11-19
1460193074278113280,2021-11-15,2021-11-19
1457408925842620416,2021-11-07,2021-11-20
1458355767216586752,2021-11-10,2021-11-20
1456441701891936512,2021-11-05,2021-11-20
1455041322792808448,2021-11-01,2021-11-20
1458373069026824192,2021-11-10,2021-11-20
1460193074278113280,2021-11-15,2021-11-20
1457408925842620416,2021-11-07,2021-11-21
1458355767216586752,2021-11-10,2021-11-21
1456441701891936512,2021-11-05,2021-11-21
1455041322792808448,2021-11-01,2021-11-21
1458373069026824192,2021-11-10,2021-11-21
1460193074278113280,2021-11-15,2021-11-21
